cases,deaths,mortality_rate
2083.0,606,29.092654824771962
2126878.0,299177,14.066486183034478
1266602.0,143355,11.318077817657008
1250044.0,113953,9.115919119646989
13.0,1,7.6923076923076925
202110.0,13875,6.8650734748404325
370.0,25,6.756756756756757
2694729.0,181402,6.731734434149036
21386.0,1347,6.298513045917891
147150.0,9018,6.128440366972477
1770.0,102,5.762711864406779
121575.0,6920,5.691959695661115
9166.0,518,5.651320096006982
92021.0,4739,5.1499114332598
1676.0,83,4.952267303102626
1108269.0,52196,4.709686908142338
1370984.0,64520,4.706108896967433
289.0,13,4.498269896193772
46.0,2,4.3478260869565215
509.0,21,4.12573673870334
49273.0,1971,4.00016236072494
1491788.0,57911,3.881985912207365
984973.0,36677,3.7236553692334717
2258.0,80,3.54295837023915
1815933.0,64170,3.5337206824260585
111361.0,3894,3.4967358410933813
129282.0,4423,3.421203261088164
5814.0,194,3.3367733058135536
101117.0,3336,3.29914851113067
3782.0,123,3.252247488101533
28031.0,908,3.2392708073204663
1494820.0,47624,3.185935430352818
179449.0,5688,3.169702812498259
6066.0,187,3.082756346851302
2440.0,75,3.0737704918032787
617820.0,18819,3.0460328250946875
535740.0,15886,2.9652443349385895
608001.0,17951,2.952462249239722
460743.0,13431,2.915074130263509
124534.0,3625,2.910851654969727
73638.0,2121,2.8803063635622914
41880.0,1205,2.877268385864374
92102.0,2596,2.8186141451868583
76185.0,2124,2.787950383933845
5887.0,162,2.7518260574146423
1425774.0,39053,2.7390736540293203
11246.0,307,2.729859505601992
1498160.0,40766,2.721071180648262
860964.0,23276,2.7034812140809605
148.0,4,2.7027027027027026
4579.0,121,2.642498362087792
1947.0,51,2.6194144838212634
5920.0,155,2.6182432432432434
114359.0,2975,2.6014568158168574
46580.0,1198,2.5719192786603693
283870.0,7130,2.5117131081128683
1397.0,35,2.505368647100931
9565.0,234,2.4464192368008364
14512.0,355,2.4462513781697908
556335.0,13385,2.4059244879434156
292.0,7,2.3972602739726026
320098.0,7514,2.347406106879768
11710.0,273,2.33134073441503
16188.0,371,2.291821102050902
574634.0,12579,2.189045548992924
5353.0,117,2.1856902671399214
7674.0,163,2.1240552514985667
1232.0,26,2.1103896103896105
9295.0,195,2.097902097902098
108342.0,2268,2.093370991859113
431.0,9,2.088167053364269
93582.0,1953,2.0869397961146374
48530.0,1003,2.066762827117247
10780.0,222,2.0593692022263452
